eta,N,L0,M,n_runs,nu_mean,nu_sd,c_s_mass
0.02,100,196.349548,50,10,0.001294238088,2.26193e-05,1.475168
0.02,100,196.349548,200,10,0.0007945348842,1.66014e-05,1.492835
0.02,100,196.349548,500,10,0.0005202084301,5.8941e-06,1.475168
0.02,100,196.349548,1000,10,0.0003760765531,5.21736e-06,1.484002
0.02,100,196.349548,2000,10,0.000267054064,2.24303e-06,1.478112
0.02,400,392.699097,50,10,0.0008579039943,1.37678e-05,1.510502
0.02,400,392.699097,200,10,0.0006454670253,9.50634e-06,1.475168
0.02,400,392.699097,500,10,0.0004703516701,6.38759e-06,1.463390
0.02,400,392.699097,1000,10,0.0003555829314,4.02885e-06,1.475168
0.02,400,392.699097,2000,10,0.0002589223084,2.44114e-06,1.472224
0.02,900,589.048645,50,10,0.0005847204078,1.94083e-05,1.451613
0.02,900,589.048645,200,10,0.0005114556938,9.76277e-06,1.463390
0.02,900,589.048645,500,10,0.0004163296653,5.55106e-06,1.472224
0.02,900,589.048645,1000,10,0.0003283644906,5.20115e-06,1.466335
0.02,900,589.048645,2000,10,0.0002483162738,2.82477e-06,1.469279
0.02,1600,785.398193,50,10,0.0004604724675,1.1511e-05,1.489890
0.02,1600,785.398193,200,10,0.0004142084022,8.06781e-06,1.460446
0.02,1600,785.398193,500,10,0.0003605560322,7.95178e-06,1.469279
0.02,1600,785.398193,1000,10,0.0003024356883,2.5402e-06,1.478113
0.02,1600,785.398193,2000,10,0.000234403445,3.30436e-06,1.460446
0.05,100,78.539818,50,10,0.003488207081,5.83634e-05,1.578127
0.05,100,78.539818,200,10,0.002116073316,4.51331e-05,1.578127
0.05,100,78.539818,500,10,0.001402055034,1.94509e-05,1.578126
0.05,100,78.539818,1000,10,0.001005561231,1.64583e-05,1.574994
0.05,100,78.539818,2000,10,0.0007183249251,9.96542e-06,1.578126
0.05,400,157.079636,50,10,0.002240466277,6.24122e-05,1.571863
0.05,400,157.079636,200,10,0.001729489091,3.2619e-05,1.574995
0.05,400,157.079636,500,10,0.001265370387,1.86362e-05,1.568732
0.05,400,157.079636,1000,10,0.0009489744591,1.39763e-05,1.568732
0.05,400,157.079636,2000,10,0.0006896257755,4.37032e-06,1.562469
0.05,900,235.619446,50,10,0.001599588601,3.39823e-05,1.584388
0.05,900,235.619446,200,10,0.001376930006,1.1565e-05,1.571863
0.05,900,235.619446,500,10,0.001109669758,1.47956e-05,1.565601
0.05,900,235.619446,1000,10,0.0008822405044,7.41006e-06,1.571863
0.05,900,235.619446,2000,10,0.0006658320827,5.59242e-06,1.571863
0.05,1600,314.159271,50,10,0.00122896527,1.99561e-05,1.587519
0.05,1600,314.159271,200,10,0.001112207653,1.81623e-05,1.565601
